permutation with time shift,react,from,to,corresponds to transition
"(1,1);(2,0)",mov,0,1,0
"(2,1);(1,0)",mov,0,1,1
"(2,1);(1,0)",stay,0,0,2
"(1,1);(2,0)",stay,0,0,3
"(2,0);(1,1)",mov,1,5,4
"(2,0);(1,1)",mov,1,6,5
"(2,0);(1,1)",mov,1,4,6
"(2,0);(1,1)",mov,1,3,7
"(2,1);(1,0)",mov,1,2,8
"(1,0);(2,1)",stay,1,1,9
"(1,1);(2,0)",stay,1,1,10
"(1,0);(2,1)",mov,6,18,11
"(1,0);(2,1)",mov,6,14,12
"(1,0);(2,1)",mov,6,11,13
"(2,0);(1,1)",mov,6,7,14
"(1,0);(2,1)",stay,6,6,15
"(1,1);(2,0)",stay,6,6,16
"(1,0);(2,1)",mov,5,16,17
"(1,0);(2,1)",mov,5,15,18
"(1,0);(2,1)",mov,5,12,19
"(2,0);(1,1)",mov,5,8,20
"(1,0);(2,1)",stay,5,5,21
"(1,1);(2,0)",stay,5,5,22
"(1,0);(2,1)",stay,4,4,23
"(2,0);(1,1)",stay,4,4,24
"(2,1);(1,0)",mov,4,1,25
"(1,1);(2,0)",mov,4,1,26
"(1,0);(2,2)",get2,3,20,27
"(1,0);(2,2)",get2,3,20,28
"(1,0);(2,1)",mov,3,17,29
"(1,0);(2,1)",mov,3,19,30
"(1,0);(2,1)",mov,3,13,31
"(1,0);(2,1)",get1,3,10,32
"(2,0);(1,1)",mov,3,9,33
"(1,0);(2,1)",stay,3,3,34
"(1,1);(2,0)",stay,3,3,35
"(1,1);(2,0)",mov,2,9,36
"(2,1);(1,0)",mov,2,9,37
"(1,1);(2,0)",mov,2,7,38
"(2,1);(1,0)",mov,2,7,39
"(2,1);(1,0)",mov,2,8,40
"(1,1);(2,0)",mov,2,8,41
"(2,1);(1,0)",stay,2,2,42
"(1,1);(2,0)",stay,2,2,43
"(2,0);(1,1)",mov,2,1,44
"(1,0);(2,1)",mov,2,1,45
"(1,1);(2,0)",mov,15,31,46
"(1,0);(2,1)",mov,15,27,47
"(1,0);(2,1)",mov,15,12,48
"(1,0);(2,1)",stay,15,15,49
"(1,1);(2,0)",stay,15,15,50
"(1,0);(2,1)",mov,15,5,51
"(1,0);(2,1)",mov,15,16,52
"(1,0);(2,1)",mov,16,55,53
"(1,0);(2,1)",get1,16,50,54
"(1,0);(2,2)",get2,16,43,55
"(1,0);(2,2)",get2,16,43,56
"(1,0);(2,1)",mov,16,39,57
"(2,0);(1,1)",mov,16,25,58
"(1,0);(2,1)",stay,16,16,59
"(1,1);(2,0)",stay,16,16,60
"(1,0);(2,1)",mov,16,17,61
"(1,0);(2,1)",mov,17,55,62
"(1,0);(2,1)",mov,17,39,63
"(2,0);(1,1)",mov,17,23,64
"(1,0);(2,1)",stay,17,17,65
"(1,1);(2,0)",stay,17,17,66
"(1,0);(2,1)",mov,17,16,67
"(1,0);(2,1)",mov,18,54,68
"(1,0);(2,1)",get1,18,48,69
"(1,0);(2,2)",get2,18,41,70
"(1,0);(2,2)",get2,18,41,71
"(1,0);(2,1)",mov,18,40,72
"(1,1);(2,0)",mov,18,24,73
"(1,0);(2,1)",stay,18,18,74
"(1,1);(2,0)",stay,18,18,75
"(1,0);(2,1)",mov,18,19,76
"(1,0);(2,1)",mov,19,54,77
"(1,0);(2,1)",mov,19,40,78
"(2,0);(1,1)",mov,19,21,79
"(1,0);(2,1)",stay,19,19,80
"(1,1);(2,0)",stay,19,19,81
"(1,0);(2,1)",mov,19,18,82
"(1,0);(2,1)",mov,20,53,83
"(1,0);(2,1)",mov,20,42,84
"(1,0);(2,1)",mov,20,44,85
"(1,1);(2,0)",mov,20,38,86
"(1,0);(2,1)",stay,20,20,87
"(1,1);(2,0)",stay,20,20,88
"(1,1);(2,0)",mov,14,30,89
"(1,0);(2,1)",mov,14,28,90
"(1,0);(2,1)",mov,14,11,91
"(1,0);(2,1)",stay,14,14,92
"(1,1);(2,0)",stay,14,14,93
"(1,0);(2,1)",mov,14,6,94
"(1,0);(2,1)",mov,14,18,95
"(1,0);(2,1)",mov,13,52,96
"(1,1);(2,0)",mov,13,34,97
"(1,0);(2,1)",stay,13,13,98
"(1,1);(2,0)",stay,13,13,99
"(1,0);(2,1)",mov,13,3,100
"(1,0);(2,1)",mov,13,19,101
"(1,0);(2,1)",mov,13,17,102
"(1,0);(2,1)",mov,12,56,103
"(2,0);(1,1)",mov,12,46,104
"(1,0);(2,1)",mov,12,37,105
"(1,0);(2,1)",stay,12,12,106
"(1,1);(2,0)",stay,12,12,107
"(1,0);(2,1)",mov,12,11,108
"(1,0);(2,1)",mov,11,56,109
"(1,1);(2,0)",mov,11,45,110
"(1,0);(2,1)",mov,11,37,111
"(1,0);(2,1)",stay,11,11,112
"(1,1);(2,0)",stay,11,11,113
"(1,0);(2,1)",mov,11,12,114
"(1,0);(2,1)",mov,10,49,115
"(1,0);(2,1)",mov,10,51,116
"(1,0);(2,1)",mov,10,36,117
"(1,1);(2,0)",mov,10,33,118
"(1,0);(2,1)",stay,10,10,119
"(1,1);(2,0)",stay,10,10,120
"(2,0);(1,2)",get2,9,38,121
"(2,0);(1,2)",get2,9,38,122
"(1,1);(2,0)",mov,9,34,123
"(1,0);(2,1)",mov,9,35,124
"(2,0);(1,1)",get1,9,33,125
"(1,1);(2,0)",mov,9,21,126
"(1,1);(2,0)",mov,9,23,127
"(2,1);(1,0)",mov,9,22,128
"(2,1);(1,0)",mov,9,26,129
"(1,0);(2,1)",stay,9,9,130
"(1,1);(2,0)",stay,9,9,131
"(2,1);(1,0)",mov,9,3,132
"(1,1);(2,0)",mov,8,46,133
"(2,1);(1,0)",mov,8,47,134
"(1,1);(2,0)",mov,8,31,135
"(1,0);(2,1)",mov,8,29,136
"(1,1);(2,0)",mov,8,25,137
"(1,0);(2,1)",mov,8,22,138
"(1,0);(2,1)",stay,8,8,139
"(1,1);(2,0)",stay,8,8,140
"(2,1);(1,0)",mov,8,5,141
"(2,0);(1,1)",mov,7,45,142
"(1,0);(2,1)",mov,7,47,143
"(2,0);(1,1)",mov,7,30,144
"(1,0);(2,1)",mov,7,32,145
"(2,0);(1,1)",mov,7,24,146
"(1,0);(2,1)",mov,7,26,147
"(1,0);(2,1)",stay,7,7,148
"(1,1);(2,0)",stay,7,7,149
"(2,1);(1,0)",mov,7,6,150
"(2,1);(1,0)",mov,53,100,151
"(1,1);(2,0)",mov,53,98,152
"(1,0);(2,1)",mov,53,44,153
"(1,0);(2,1)",mov,53,42,154
"(1,0);(2,1)",stay,53,53,155
"(1,1);(2,0)",stay,53,53,156
"(1,0);(2,1)",mov,53,20,157
"(1,0);(2,1)",mov,54,105,158
"(1,1);(2,0)",mov,54,73,159
"(1,0);(2,1)",stay,54,54,160
"(1,1);(2,0)",stay,54,54,161
"(1,0);(2,1)",mov,54,55,162
"(1,0);(2,1)",mov,54,56,163
"(1,0);(2,1)",mov,55,105,164
"(2,0);(1,1)",mov,55,72,165
"(1,0);(2,1)",stay,55,55,166
"(1,1);(2,0)",stay,55,55,167
"(1,0);(2,1)",mov,55,56,168
"(1,0);(2,1)",mov,55,54,169
"(1,0);(2,1)",mov,56,105,170
"(1,0);(2,2)",get2,56,89,171
"(1,0);(2,2)",get2,56,89,172
"(2,0);(1,1)",mov,56,70,173
"(1,0);(2,1)",get1,56,65,174
"(1,0);(2,1)",stay,56,56,175
"(1,1);(2,0)",stay,56,56,176
"(1,0);(2,1)",mov,56,54,177
"(1,0);(2,1)",mov,56,55,178
"(1,0);(2,1)",mov,49,95,179
"(1,0);(2,2)",set1,49,91,180
"(2,0);(1,1)",mov,49,78,181
"(1,0);(2,1)",mov,49,66,182
"(1,0);(2,1)",stay,49,49,183
"(1,1);(2,0)",stay,49,49,184
"(1,0);(2,1)",mov,49,48,185
"(1,0);(2,1)",mov,50,94,186
"(2,0);(1,1)",mov,50,76,187
"(1,0);(2,1)",mov,50,64,188
"(1,0);(2,1)",stay,50,50,189
"(1,1);(2,0)",stay,50,50,190
"(1,0);(2,1)",mov,50,51,191
"(1,0);(2,1)",mov,51,94,192
"(2,0);(1,1)",mov,51,74,193
"(1,0);(2,1)",mov,51,64,194
"(1,0);(2,1)",stay,51,51,195
"(1,1);(2,0)",stay,51,51,196
"(1,0);(2,1)",mov,51,50,197
"(1,0);(2,1)",mov,52,13,198
"(2,0);(1,1)",mov,52,13,199
"(1,0);(2,1)",stay,52,52,200
"(2,0);(1,1)",stay,52,52,201
"(1,1);(2,0)",mov,45,103,202
"(2,1);(1,0)",mov,45,104,203
"(1,1);(2,0)",mov,45,71,204
"(2,1);(1,0)",mov,45,70,205
"(1,1);(2,0)",mov,45,11,206
"(1,0);(2,1)",stay,45,45,207
"(1,1);(2,0)",stay,45,45,208
"(1,1);(2,0)",mov,45,47,209
"(2,1);(1,0)",mov,45,46,210
"(2,1);(1,0)",mov,46,102,211
"(1,1);(2,0)",mov,46,104,212
"(1,1);(2,0)",mov,46,70,213
"(1,0);(2,1)",mov,46,68,214
"(2,1);(1,0)",mov,46,12,215
"(1,0);(2,1)",stay,46,46,216
"(1,1);(2,0)",stay,46,46,217
"(1,0);(2,1)",mov,46,47,218
"(2,0);(1,1)",mov,46,45,219
"(2,1);(1,0)",mov,47,102,220
"(1,1);(2,0)",mov,47,103,221
"(1,0);(2,1)",mov,47,68,222
"(1,1);(2,0)",mov,47,71,223
"(1,1);(2,0)",stay,47,47,224
"(1,0);(2,1)",stay,47,47,225
"(1,1);(2,0)",mov,47,45,226
"(1,0);(2,1)",mov,47,46,227
"(1,0);(2,1)",mov,48,95,228
"(1,1);(2,0)",mov,48,79,229
"(1,0);(2,1)",mov,48,66,230
"(1,0);(2,1)",stay,48,48,231
"(1,1);(2,0)",stay,48,48,232
"(1,0);(2,1)",mov,48,49,233
"(1,0);(2,1)",mov,41,92,234
"(1,0);(2,1)",mov,41,88,235
"(1,1);(2,0)",mov,41,87,236
"(1,0);(2,1)",stay,41,41,237
"(1,1);(2,0)",stay,41,41,238
"(1,0);(2,1)",mov,41,42,239
"(1,0);(2,1)",mov,42,92,240
"(1,0);(2,1)",mov,42,88,241
"(2,0);(1,1)",mov,42,86,242
"(1,0);(2,1)",stay,42,42,243
"(1,1);(2,0)",stay,42,42,244
"(1,0);(2,1)",mov,42,41,245
"(1,0);(2,1)",mov,43,93,246
"(1,0);(2,1)",mov,43,90,247
"(2,0);(1,1)",mov,43,84,248
"(1,0);(2,1)",stay,43,43,249
"(1,1);(2,0)",stay,43,43,250
"(1,0);(2,1)",mov,43,44,251
"(1,0);(2,1)",mov,44,93,252
"(1,0);(2,1)",mov,44,90,253
"(2,0);(1,1)",mov,44,82,254
"(1,0);(2,3)",set2,44,67,255
"(1,0);(2,1)",stay,44,44,256
